Heavy particle collisions / Elastic Scattering / H, H --> H
IAEA-APID-8 (1998)
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H (E= .100 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H (E= 1.00 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H (E= 1.25 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H (E= 1.58 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H (E= 1.99 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H (E= 2.51 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H (E= 3.16 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H (E= 3.98 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H (E= 5.01 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H (E= 6.30 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H (E= 7.94 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H (E= .125 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H (E= 10.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H (E= 12.5 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H (E= 15.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H (E= 19.9 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H (E= 25.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H (E= 31.6 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H (E= 39.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H (E= 50.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H (E= 63.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H (E= 79.4 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H (E= .158 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H (E= 100. eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
25	EL	H, H (E= .199 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
26	EL	H, H (E= .251 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
27	EL	H, H (E= .316 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
28	EL	H, H (E= .398 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
29	EL	H, H (E= .501 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
30	EL	H, H (E= .631 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
31	EL	H, H (E= .794 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H (E= .100 eV CM Energy) --> H, H

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
7.6907E-06	1.1580E-18	7.6907E-06	4.1353E-02
4.0522E-05	6.1015E-18	4.0522E-05	2.1789E-01
9.9587E-05	1.4995E-17	9.9587E-05	5.3548E-01
1.8490E-04	2.7841E-17	1.8490E-04	9.9420E-01
2.9646E-04	4.4638E-17	2.9646E-04	1.5940E+00
4.3426E-04	6.5387E-17	4.3426E-04	2.3350E+00
5.9831E-04	9.0086E-17	5.9831E-04	3.2170E+00
7.8859E-04	1.1874E-16	7.8859E-04	4.2401E+00
1.0051E-03	1.5133E-16	1.0051E-03	5.4042E+00
1.2479E-03	1.8788E-16	1.2479E-03	6.7092E+00
1.5169E-03	2.2836E-16	1.5169E-03	8.1550E+00
1.8121E-03	2.7279E-16	1.8121E-03	9.7415E+00
2.1335E-03	3.2115E-16	2.1335E-03	1.1469E+01
2.4811E-03	3.7344E-16	2.4811E-03	1.3336E+01
2.8550E-03	4.2966E-16	2.8550E-03	1.5343E+01
3.2551E-03	4.8978E-16	3.2551E-03	1.7491E+01
3.6813E-03	5.5382E-16	3.6813E-03	1.9777E+01
4.1337E-03	6.2174E-16	4.1337E-03	2.2203E+01
4.6124E-03	6.9354E-16	4.6124E-03	2.4767E+01
5.1171E-03	7.6920E-16	5.1171E-03	2.7469E+01
5.6481E-03	8.4870E-16	5.6481E-03	3.0308E+01
6.2052E-03	9.3201E-16	6.2052E-03	3.3283E+01
6.7885E-03	1.0191E-15	6.7885E-03	3.6393E+01
7.3979E-03	1.1100E-15	7.3979E-03	3.9638E+01
8.0334E-03	1.2046E-15	8.0334E-03	4.3016E+01
8.6950E-03	1.3029E-15	8.6950E-03	4.6526E+01
9.3828E-03	1.4048E-15	9.3828E-03	5.0166E+01
1.0097E-02	1.5103E-15	1.0097E-02	5.3934E+01
1.0837E-02	1.6194E-15	1.0837E-02	5.7828E+01
1.1602E-02	1.7319E-15	1.1602E-02	6.1847E+01
1.2395E-02	1.8479E-15	1.2395E-02	6.5989E+01
1.3213E-02	1.9672E-15	1.3213E-02	7.0249E+01
1.4057E-02	2.0897E-15	1.4057E-02	7.4626E+01
1.4927E-02	2.2155E-15	1.4927E-02	7.9117E+01
1.5823E-02	2.3443E-15	1.5823E-02	8.3718E+01
1.6745E-02	2.4762E-15	1.6745E-02	8.8426E+01
1.7693E-02	2.6109E-15	1.7693E-02	9.3236E+01
1.8667E-02	2.7483E-15	1.8667E-02	9.8145E+01
1.9667E-02	2.8884E-15	1.9667E-02	1.0315E+02
2.0693E-02	3.0310E-15	2.0693E-02	1.0824E+02
2.1745E-02	3.1760E-15	2.1745E-02	1.1342E+02
2.2823E-02	3.3231E-15	2.2823E-02	1.1867E+02
2.3926E-02	3.4723E-15	2.3926E-02	1.2400E+02
2.5056E-02	3.6233E-15	2.5056E-02	1.2939E+02
2.6211E-02	3.7760E-15	2.6211E-02	1.3484E+02
2.7392E-02	3.9302E-15	2.7392E-02	1.4035E+02
2.8599E-02	4.0856E-15	2.8599E-02	1.4590E+02
2.9831E-02	4.2421E-15	2.9831E-02	1.5149E+02
3.1090E-02	4.3994E-15	3.1090E-02	1.5711E+02
3.2374E-02	4.5574E-15	3.2374E-02	1.6275E+02
3.3684E-02	4.7156E-15	3.3684E-02	1.6840E+02
3.5019E-02	4.8740E-15	3.5019E-02	1.7405E+02
3.6380E-02	5.0321E-15	3.6380E-02	1.7970E+02
3.7767E-02	5.1899E-15	3.7767E-02	1.8533E+02
3.9180E-02	5.3468E-15	3.9180E-02	1.9094E+02
4.0618E-02	5.5028E-15	4.0618E-02	1.9651E+02
4.2081E-02	5.6573E-15	4.2081E-02	2.0203E+02
4.3570E-02	5.8103E-15	4.3570E-02	2.0749E+02
4.5085E-02	5.9612E-15	4.5085E-02	2.1288E+02
4.6625E-02	6.1098E-15	4.6625E-02	2.1819E+02
4.8191E-02	6.2558E-15	4.8191E-02	2.2340E+02
4.9782E-02	6.3988E-15	4.9782E-02	2.2851E+02
5.1398E-02	6.5385E-15	5.1398E-02	2.3349E+02
5.3040E-02	6.6745E-15	5.3040E-02	2.3835E+02
5.4708E-02	6.8064E-15	5.4708E-02	2.4306E+02
5.6400E-02	6.9340E-15	5.6400E-02	2.4762E+02
5.8118E-02	7.0568E-15	5.8118E-02	2.5200E+02
5.9861E-02	7.1745E-15	5.9861E-02	2.5620E+02
6.1630E-02	7.2867E-15	6.1630E-02	2.6021E+02
6.3423E-02	7.3930E-15	6.3423E-02	2.6401E+02
6.5242E-02	7.4932E-15	6.5242E-02	2.6759E+02
6.7086E-02	7.5868E-15	6.7086E-02	2.7093E+02
6.8955E-02	7.6736E-15	6.8955E-02	2.7403E+02
7.0849E-02	7.7531E-15	7.0849E-02	2.7687E+02
7.2769E-02	7.8250E-15	7.2769E-02	2.7944E+02
7.4713E-02	7.8891E-15	7.4713E-02	2.8172E+02
7.6682E-02	7.9449E-15	7.6682E-02	2.8372E+02
7.8677E-02	7.9923E-15	7.8677E-02	2.8541E+02
8.0696E-02	8.0308E-15	8.0696E-02	2.8679E+02
8.2740E-02	8.0603E-15	8.2740E-02	2.8784E+02
8.4809E-02	8.0806E-15	8.4809E-02	2.8856E+02
8.6903E-02	8.0912E-15	8.6903E-02	2.8894E+02
8.9021E-02	8.0922E-15	8.9021E-02	2.8898E+02
9.1165E-02	8.0833E-15	9.1165E-02	2.8866E+02
9.3333E-02	8.0643E-15	9.3333E-02	2.8798E+02
9.5526E-02	8.0351E-15	9.5526E-02	2.8694E+02
9.7743E-02	7.9957E-15	9.7743E-02	2.8553E+02
9.9985E-02	7.9459E-15	9.9985E-02	2.8375E+02
1.0225E-01	7.8859E-15	1.0225E-01	2.8161E+02
1.0454E-01	7.8154E-15	1.0454E-01	2.7909E+02
1.0686E-01	7.7347E-15	1.0686E-01	2.7621E+02
1.0920E-01	7.6439E-15	1.0920E-01	2.7297E+02
1.1156E-01	7.5430E-15	1.1156E-01	2.6936E+02
1.1395E-01	7.4322E-15	1.1395E-01	2.6541E+02
1.1637E-01	7.3118E-15	1.1637E-01	2.6111E+02
1.1880E-01	7.1820E-15	1.1880E-01	2.5648E+02
1.2127E-01	7.0432E-15	1.2127E-01	2.5152E+02
1.2375E-01	6.8957E-15	1.2375E-01	2.4625E+02
1.2626E-01	6.7399E-15	1.2626E-01	2.4069E+02
1.2880E-01	6.5763E-15	1.2880E-01	2.3484E+02
1.3135E-01	6.4053E-15	1.3135E-01	2.2874E+02
1.3394E-01	6.2274E-15	1.3394E-01	2.2238E+02
1.3654E-01	6.0434E-15	1.3654E-01	2.1581E+02
1.3917E-01	5.8536E-15	1.3917E-01	2.0904E+02
1.4183E-01	5.6589E-15	1.4183E-01	2.0208E+02
1.4451E-01	5.4598E-15	1.4451E-01	1.9497E+02
1.4721E-01	5.2571E-15	1.4721E-01	1.8774E+02
1.4994E-01	5.0515E-15	1.4994E-01	1.8039E+02
1.5269E-01	4.8438E-15	1.5269E-01	1.7297E+02
1.5546E-01	4.6347E-15	1.5546E-01	1.6551E+02
1.5826E-01	4.4250E-15	1.5826E-01	1.5802E+02
1.6108E-01	4.2155E-15	1.6108E-01	1.5054E+02
1.6392E-01	4.0071E-15	1.6392E-01	1.4309E+02
1.6679E-01	3.8004E-15	1.6679E-01	1.3572E+02
1.6968E-01	3.5964E-15	1.6968E-01	1.2843E+02
1.7259E-01	3.3957E-15	1.7259E-01	1.2126E+02
1.7553E-01	3.1992E-15	1.7553E-01	1.1425E+02
1.7849E-01	3.0077E-15	1.7849E-01	1.0741E+02
1.8148E-01	2.8218E-15	1.8148E-01	1.0077E+02
1.8449E-01	2.6423E-15	1.8449E-01	9.4357E+01
1.8752E-01	2.4698E-15	1.8752E-01	8.8197E+01
1.9057E-01	2.3049E-15	1.9057E-01	8.2309E+01
1.9365E-01	2.1483E-15	1.9365E-01	7.6716E+01
1.9675E-01	2.0004E-15	1.9675E-01	7.1435E+01
1.9987E-01	1.8618E-15	1.9987E-01	6.6484E+01
2.0302E-01	1.7328E-15	2.0302E-01	6.1878E+01
2.0619E-01	1.6138E-15	2.0619E-01	5.7628E+01
2.0938E-01	1.5050E-15	2.0938E-01	5.3745E+01
2.1259E-01	1.4068E-15	2.1259E-01	5.0237E+01
2.1583E-01	1.3191E-15	2.1583E-01	4.7108E+01
2.1909E-01	1.2422E-15	2.1909E-01	4.4359E+01
2.2237E-01	1.1758E-15	2.2237E-01	4.1990E+01
2.2568E-01	1.1200E-15	2.2568E-01	3.9997E+01
2.2900E-01	1.0746E-15	2.2900E-01	3.8374E+01
2.3235E-01	1.0392E-15	2.3235E-01	3.7109E+01
2.3573E-01	1.0135E-15	2.3573E-01	3.6193E+01
2.3912E-01	9.9711E-16	2.3912E-01	3.5608E+01
2.4254E-01	9.8955E-16	2.4254E-01	3.5337E+01
2.4598E-01	9.9023E-16	2.4598E-01	3.5362E+01
2.4944E-01	9.9855E-16	2.4944E-01	3.5659E+01
2.5292E-01	1.0139E-15	2.5292E-01	3.6205E+01
2.5643E-01	1.0354E-15	2.5643E-01	3.6976E+01
2.5995E-01	1.0625E-15	2.5995E-01	3.7943E+01
2.6350E-01	1.0944E-15	2.6350E-01	3.9081E+01
2.6707E-01	1.1303E-15	2.6707E-01	4.0362E+01
2.7067E-01	1.1693E-15	2.7067E-01	4.1757E+01
2.7428E-01	1.2108E-15	2.7428E-01	4.3240E+01
2.7792E-01	1.2540E-15	2.7792E-01	4.4782E+01
2.8157E-01	1.2981E-15	2.8157E-01	4.6357E+01
2.8525E-01	1.3425E-15	2.8525E-01	4.7941E+01
2.8895E-01	1.3864E-15	2.8895E-01	4.9510E+01
2.9268E-01	1.4293E-15	2.9268E-01	5.1041E+01
2.9642E-01	1.4705E-15	2.9642E-01	5.2514E+01
3.0018E-01	1.5097E-15	3.0018E-01	5.3912E+01
3.0397E-01	1.5462E-15	3.0397E-01	5.5217E+01
3.0778E-01	1.5799E-15	3.0778E-01	5.6418E+01
3.1161E-01	1.6102E-15	3.1161E-01	5.7502E+01
3.1545E-01	1.6371E-15	3.1545E-01	5.8460E+01
3.1933E-01	1.6602E-15	3.1933E-01	5.9288E+01
3.2322E-01	1.6796E-15	3.2322E-01	5.9980E+01
3.2713E-01	1.6952E-15	3.2713E-01	6.0536E+01
3.3106E-01	1.7070E-15	3.3106E-01	6.0957E+01
3.3502E-01	1.7151E-15	3.3502E-01	6.1247E+01
3.3899E-01	1.7197E-15	3.3899E-01	6.1412E+01
3.4298E-01	1.7210E-15	3.4298E-01	6.1459E+01
3.4700E-01	1.7194E-15	3.4700E-01	6.1400E+01
3.5104E-01	1.7150E-15	3.5104E-01	6.1245E+01
3.5509E-01	1.7084E-15	3.5509E-01	6.1009E+01
3.5917E-01	1.6999E-15	3.5917E-01	6.0706E+01
3.6327E-01	1.6900E-15	3.6327E-01	6.0352E+01
3.6738E-01	1.6791E-15	3.6738E-01	5.9963E+01
3.7152E-01	1.6677E-15	3.7152E-01	5.9556E+01
3.7568E-01	1.6563E-15	3.7568E-01	5.9147E+01
3.7985E-01	1.6452E-15	3.7985E-01	5.8753E+01
3.8405E-01	1.6350E-15	3.8405E-01	5.8388E+01
3.8827E-01	1.6260E-15	3.8827E-01	5.8065E+01
3.9250E-01	1.6185E-15	3.9250E-01	5.7797E+01
3.9676E-01	1.6128E-15	3.9676E-01	5.7593E+01
4.0104E-01	1.6090E-15	4.0104E-01	5.7460E+01
4.0533E-01	1.6074E-15	4.0533E-01	5.7403E+01
4.0965E-01	1.6080E-15	4.0965E-01	5.7423E+01
4.1398E-01	1.6107E-15	4.1398E-01	5.7520E+01
4.1833E-01	1.6155E-15	4.1833E-01	5.7689E+01
4.2271E-01	1.6220E-15	4.2271E-01	5.7924E+01
4.2710E-01	1.6302E-15	4.2710E-01	5.8214E+01
4.3151E-01	1.6395E-15	4.3151E-01	5.8549E+01
4.3594E-01	1.6497E-15	4.3594E-01	5.8913E+01
4.4039E-01	1.6603E-15	4.4039E-01	5.9291E+01
4.4486E-01	1.6708E-15	4.4486E-01	5.9665E+01
4.4934E-01	1.6807E-15	4.4934E-01	6.0018E+01
4.5385E-01	1.6894E-15	4.5385E-01	6.0330E+01
4.5837E-01	1.6964E-15	4.5837E-01	6.0581E+01
4.6292E-01	1.7013E-15	4.6292E-01	6.0753E+01
4.6748E-01	1.7034E-15	4.6748E-01	6.0828E+01
4.7206E-01	1.7023E-15	4.7206E-01	6.0789E+01
4.7666E-01	1.6975E-15	4.7666E-01	6.0619E+01
4.8127E-01	1.6887E-15	4.8127E-01	6.0305E+01
4.8591E-01	1.6756E-15	4.8591E-01	5.9836E+01
4.9056E-01	1.6578E-15	4.9056E-01	5.9202E+01
4.9523E-01	1.6353E-15	4.9523E-01	5.8397E+01
4.9992E-01	1.6079E-15	4.9992E-01	5.7420E+01
5.0463E-01	1.5757E-15	5.0463E-01	5.6271E+01
5.0935E-01	1.5389E-15	5.0935E-01	5.4955E+01
5.1409E-01	1.4976E-15	5.1409E-01	5.3480E+01
5.1885E-01	1.4522E-15	5.1885E-01	5.1860E+01
5.2363E-01	1.4033E-15	5.2363E-01	5.0112E+01
5.2843E-01	1.3513E-15	5.2843E-01	4.8256E+01
5.3324E-01	1.2970E-15	5.3324E-01	4.6317E+01
5.3807E-01	1.2412E-15	5.3807E-01	4.4323E+01
5.4292E-01	1.1846E-15	5.4292E-01	4.2304E+01
5.4778E-01	1.1283E-15	5.4778E-01	4.0294E+01
5.5266E-01	1.0733E-15	5.5266E-01	3.8327E+01
5.5756E-01	1.0204E-15	5.5756E-01	3.6438E+01
5.6248E-01	9.7065E-16	5.6248E-01	3.4663E+01
5.6741E-01	9.2509E-16	5.6741E-01	3.3036E+01
5.7236E-01	8.8459E-16	5.7236E-01	3.1589E+01
5.7732E-01	8.5001E-16	5.7732E-01	3.0354E+01
5.8230E-01	8.2210E-16	5.8230E-01	2.9358E+01
5.8730E-01	8.0151E-16	5.8730E-01	2.8623E+01
5.9232E-01	7.8878E-16	5.9232E-01	2.8168E+01
5.9735E-01	7.8428E-16	5.9735E-01	2.8007E+01
6.0240E-01	7.8827E-16	6.0240E-01	2.8150E+01
6.0746E-01	8.0084E-16	6.0746E-01	2.8599E+01
6.1254E-01	8.2193E-16	6.1254E-01	2.9352E+01
6.1764E-01	8.5130E-16	6.1764E-01	3.0401E+01
6.2275E-01	8.8860E-16	6.2275E-01	3.1733E+01
6.2788E-01	9.3330E-16	6.2788E-01	3.3329E+01
6.3302E-01	9.8472E-16	6.3302E-01	3.5165E+01
6.3818E-01	1.0421E-15	6.3818E-01	3.7213E+01
6.4336E-01	1.1044E-15	6.4336E-01	3.9440E+01
6.4854E-01	1.1708E-15	6.4854E-01	4.1809E+01
6.5375E-01	1.2400E-15	6.5375E-01	4.4281E+01
6.5897E-01	1.3109E-15	6.5897E-01	4.6813E+01
6.6421E-01	1.3823E-15	6.6421E-01	4.9361E+01
6.6946E-01	1.4528E-15	6.6946E-01	5.1882E+01
6.7473E-01	1.5214E-15	6.7473E-01	5.4330E+01
6.8001E-01	1.5867E-15	6.8001E-01	5.6662E+01
6.8530E-01	1.6476E-15	6.8530E-01	5.8838E+01
6.9061E-01	1.7031E-15	6.9061E-01	6.0820E+01
6.9594E-01	1.7523E-15	6.9594E-01	6.2574E+01
7.0128E-01	1.7942E-15	7.0128E-01	6.4072E+01
7.0664E-01	1.8283E-15	7.0664E-01	6.5290E+01
7.1201E-01	1.8541E-15	7.1201E-01	6.6211E+01
7.1739E-01	1.8713E-15	7.1739E-01	6.6824E+01
7.2279E-01	1.8797E-15	7.2279E-01	6.7125E+01
7.2820E-01	1.8794E-15	7.2820E-01	6.7115E+01
7.3363E-01	1.8707E-15	7.3363E-01	6.6802E+01
7.3907E-01	1.8538E-15	7.3907E-01	6.6200E+01
7.4452E-01	1.8293E-15	7.4452E-01	6.5325E+01
