Heavy particle collisions / Elastic Scattering / H, H2
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H2 (E= .100 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H2 (E= 1.00 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H2 (E= 1.25 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H2 (E= 1.58 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H2 (E= 1.99 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H2 (E= 2.51 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H2 (E= 3.16 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H2 (E= 3.98 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H2 (E= 5.01 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H2 (E= 6.30 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H2 (E= 7.94 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H2 (E= .125 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H2 (E= 10.0 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H2 (E= 19.9 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H2 (E= 50.1 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H2 (E= .158 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H2 (E= 100. eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H2 (E= .199 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H2 (E= .251 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H2 (E= .316 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H2 (E= .398 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H2 (E= .501 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H2 (E= .631 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H2 (E= .794 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H2 (E= .100 eV CM Energy) --> H, H2

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
7.6907E-06	3.4426E-18	7.6907E-06	1.2294E-01
4.0522E-05	1.8139E-17	4.0522E-05	6.4774E-01
9.9587E-05	4.4577E-17	9.9587E-05	1.5919E+00
1.8490E-04	8.2765E-17	1.8490E-04	2.9556E+00
2.9646E-04	1.3270E-16	2.9646E-04	4.7388E+00
4.3426E-04	1.9438E-16	4.3426E-04	6.9415E+00
5.9831E-04	2.6781E-16	5.9831E-04	9.5636E+00
7.8859E-04	3.5297E-16	7.8859E-04	1.2605E+01
1.0051E-03	4.4987E-16	1.0051E-03	1.6065E+01
1.2479E-03	5.5850E-16	1.2479E-03	1.9944E+01
1.5169E-03	6.7885E-16	1.5169E-03	2.4242E+01
1.8121E-03	8.1090E-16	1.8121E-03	2.8958E+01
2.1335E-03	9.5464E-16	2.1335E-03	3.4091E+01
2.4811E-03	1.1100E-15	2.4811E-03	3.9641E+01
2.8550E-03	1.2771E-15	2.8550E-03	4.5606E+01
3.2551E-03	1.4558E-15	3.2551E-03	5.1986E+01
3.6813E-03	1.6460E-15	3.6813E-03	5.8779E+01
4.1337E-03	1.8477E-15	4.1337E-03	6.5984E+01
4.6124E-03	2.0609E-15	4.6124E-03	7.3598E+01
5.1171E-03	2.2856E-15	5.1171E-03	8.1619E+01
5.6481E-03	2.5215E-15	5.6481E-03	9.0045E+01
6.2052E-03	2.7687E-15	6.2052E-03	9.8873E+01
6.7885E-03	3.0271E-15	6.7885E-03	1.0810E+02
7.3979E-03	3.2964E-15	7.3979E-03	1.1772E+02
8.0334E-03	3.5767E-15	8.0334E-03	1.2773E+02
8.6950E-03	3.8677E-15	8.6950E-03	1.3812E+02
9.3828E-03	4.1693E-15	9.3828E-03	1.4889E+02
1.0097E-02	4.4813E-15	1.0097E-02	1.6003E+02
1.0837E-02	4.8035E-15	1.0837E-02	1.7154E+02
1.1602E-02	5.1357E-15	1.1602E-02	1.8340E+02
1.2395E-02	5.4776E-15	1.2395E-02	1.9561E+02
1.3213E-02	5.8290E-15	1.3213E-02	2.0816E+02
1.4057E-02	6.1896E-15	1.4057E-02	2.2103E+02
1.4927E-02	6.5589E-15	1.4927E-02	2.3422E+02
1.5823E-02	6.9368E-15	1.5823E-02	2.4772E+02
1.6745E-02	7.3228E-15	1.6745E-02	2.6150E+02
1.7693E-02	7.7164E-15	1.7693E-02	2.7556E+02
1.8667E-02	8.1173E-15	1.8667E-02	2.8987E+02
1.9667E-02	8.5249E-15	1.9667E-02	3.0443E+02
2.0693E-02	8.9388E-15	2.0693E-02	3.1921E+02
2.1745E-02	9.3585E-15	2.1745E-02	3.3420E+02
2.2823E-02	9.7832E-15	2.2823E-02	3.4936E+02
2.3926E-02	1.0212E-14	2.3926E-02	3.6469E+02
2.5056E-02	1.0646E-14	2.5056E-02	3.8016E+02
2.6211E-02	1.1082E-14	2.6211E-02	3.9574E+02
2.7392E-02	1.1521E-14	2.7392E-02	4.1141E+02
2.8599E-02	1.1961E-14	2.8599E-02	4.2713E+02
2.9831E-02	1.2402E-14	2.9831E-02	4.4289E+02
3.1090E-02	1.2844E-14	3.1090E-02	4.5866E+02
3.2374E-02	1.3284E-14	3.2374E-02	4.7439E+02
3.3684E-02	1.3723E-14	3.3684E-02	4.9006E+02
3.5019E-02	1.4159E-14	3.5019E-02	5.0564E+02
3.6380E-02	1.4592E-14	3.6380E-02	5.2109E+02
3.7767E-02	1.5020E-14	3.7767E-02	5.3638E+02
3.9180E-02	1.5443E-14	3.9180E-02	5.5147E+02
4.0618E-02	1.5859E-14	4.0618E-02	5.6632E+02
4.2081E-02	1.6267E-14	4.2081E-02	5.8089E+02
4.3570E-02	1.6666E-14	4.3570E-02	5.9516E+02
4.5085E-02	1.7056E-14	4.5085E-02	6.0907E+02
4.6625E-02	1.7434E-14	4.6625E-02	6.2259E+02
4.8191E-02	1.7801E-14	4.8191E-02	6.3567E+02
4.9782E-02	1.8154E-14	4.9782E-02	6.4829E+02
5.1398E-02	1.8493E-14	5.1398E-02	6.6039E+02
5.3040E-02	1.8816E-14	5.3040E-02	6.7194E+02
5.4708E-02	1.9123E-14	5.4708E-02	6.8290E+02
5.6400E-02	1.9412E-14	5.6400E-02	6.9323E+02
5.8118E-02	1.9683E-14	5.8118E-02	7.0289E+02
5.9861E-02	1.9934E-14	5.9861E-02	7.1184E+02
6.1630E-02	2.0163E-14	6.1630E-02	7.2005E+02
6.3423E-02	2.0372E-14	6.3423E-02	7.2748E+02
6.5242E-02	2.0557E-14	6.5242E-02	7.3410E+02
6.7086E-02	2.0718E-14	6.7086E-02	7.3987E+02
6.8955E-02	2.0856E-14	6.8955E-02	7.4476E+02
7.0849E-02	2.0967E-14	7.0849E-02	7.4875E+02
7.2769E-02	2.1053E-14	7.2769E-02	7.5181E+02
7.4713E-02	2.1112E-14	7.4713E-02	7.5391E+02
7.6682E-02	2.1143E-14	7.6682E-02	7.5503E+02
7.8677E-02	2.1146E-14	7.8677E-02	7.5515E+02
8.0696E-02	2.1121E-14	8.0696E-02	7.5426E+02
8.2740E-02	2.1067E-14	8.2740E-02	7.5233E+02
8.4809E-02	2.0984E-14	8.4809E-02	7.4937E+02
8.6903E-02	2.0872E-14	8.6903E-02	7.4535E+02
8.9021E-02	2.0730E-14	8.9021E-02	7.4028E+02
9.1165E-02	2.0558E-14	9.1165E-02	7.3415E+02
